Vt,W,L,T,Vgs,Vds,Ids
-21.0,10,5,0,-20.0,1.0,9.5622e-15
-20.8,10,5,0,-19.8,1.0,9.5622e-15
-20.6,10,5,0,-19.6,1.0,9.5622e-15
-20.4,10,5,0,-19.4,1.0,9.5622e-15
-20.2,10,5,0,-19.2,1.0,9.5622e-15
-20.0,10,5,0,-19.0,1.0,9.5622e-15
-19.8,10,5,0,-18.8,1.0,9.5622e-15
-19.6,10,5,0,-18.6,1.0,9.5622e-15
-19.4,10,5,0,-18.4,1.0,9.5622e-15
-19.2,10,5,0,-18.2,1.0,9.5622e-15
-19.0,10,5,0,-18.0,1.0,9.5622e-15
-18.8,10,5,0,-17.8,1.0,9.5622e-15
-18.6,10,5,0,-17.6,1.0,9.5622e-15
-18.4,10,5,0,-17.4,1.0,9.5622e-15
-18.2,10,5,0,-17.2,1.0,9.5622e-15
-18.0,10,5,0,-17.0,1.0,9.5622e-15
-17.8,10,5,0,-16.8,1.0,9.5622e-15
-17.6,10,5,0,-16.6,1.0,9.5622e-15
-17.4,10,5,0,-16.4,1.0,9.5622e-15
-17.2,10,5,0,-16.2,1.0,9.5622e-15
-17.0,10,5,0,-16.0,1.0,9.5622e-15
-16.8,10,5,0,-15.8,1.0,9.5622e-15
-16.6,10,5,0,-15.6,1.0,9.5622e-15
-16.4,10,5,0,-15.4,1.0,9.5622e-15
-16.2,10,5,0,-15.2,1.0,9.5622e-15
-16.0,10,5,0,-15.0,1.0,9.5622e-15
-15.8,10,5,0,-14.8,1.0,9.5622e-15
-15.6,10,5,0,-14.6,1.0,9.5622e-15
-15.4,10,5,0,-14.4,1.0,9.5622e-15
-15.2,10,5,0,-14.2,1.0,9.5622e-15
-15.0,10,5,0,-14.0,1.0,9.5622e-15
-14.8,10,5,0,-13.8,1.0,9.5622e-15
-14.6,10,5,0,-13.6,1.0,9.5622e-15
-14.4,10,5,0,-13.4,1.0,9.5622e-15
-14.2,10,5,0,-13.2,1.0,9.5622e-15
-14.0,10,5,0,-13.0,1.0,9.5622e-15
-13.8,10,5,0,-12.8,1.0,9.5622e-15
-13.6,10,5,0,-12.6,1.0,9.5622e-15
-13.4,10,5,0,-12.4,1.0,9.5622e-15
-13.2,10,5,0,-12.2,1.0,9.5622e-15
-13.0,10,5,0,-12.0,1.0,9.5622e-15
-12.8,10,5,0,-11.8,1.0,9.5622e-15
-12.6,10,5,0,-11.6,1.0,9.5622e-15
-12.4,10,5,0,-11.4,1.0,9.5622e-15
-12.2,10,5,0,-11.2,1.0,9.5622e-15
-12.0,10,5,0,-11.0,1.0,9.5622e-15
-11.8,10,5,0,-10.8,1.0,9.5622e-15
-11.6,10,5,0,-10.6,1.0,9.5622e-15
-11.4,10,5,0,-10.4,1.0,9.5622e-15
