Vds,Vgs,Ids,W,L,T
0.1,1.0,2.5559e-08,10,5,0
1.0,0.6,2.0249e-08,10,5,0
5.0,0.6,2.2716e-08,10,5,0
10.0,0.6,2.9482e-08,10,5,0
20.0,0.4,2.4382e-08,10,5,0
30.0,-3.7581e-14,1.1622e-08,10,5,0
0.1,1.0,2.4687e-08,10,5,25
1.0,0.6,2.1353e-08,10,5,25
5.0,0.6,2.4018e-08,10,5,25
10.0,0.6,3.0986e-08,10,5,25
20.0,0.4,2.5735e-08,10,5,25
30.0,-3.7581e-14,1.2602e-08,10,5,25
0.1,1.0,2.3164e-08,10,5,80
1.0,0.6,2.381e-08,10,5,80
5.0,0.6,2.6998e-08,10,5,80
10.0,0.6,3.4371e-08,10,5,80
20.0,0.4,2.882e-08,10,5,80
30.0,-3.7581e-14,1.4934e-08,10,5,80
0.1,1.0,1.1959e-08,10,8,0
1.0,0.8,2.1772e-08,10,8,0
5.0,0.8,2.3301e-08,10,8,0
10.0,0.6,6.5923e-09,10,8,0
20.0,0.6,1.4798e-08,10,8,0
30.0,0.4,1.2227e-08,10,8,0
0.1,1.0,1.1588e-08,10,8,25
1.0,0.8,2.2665e-08,10,8,25
5.0,0.8,2.4376e-08,10,8,25
10.0,0.6,7.1783e-09,10,8,25
20.0,0.6,1.5626e-08,10,8,25
30.0,0.4,1.2979e-08,10,8,25
0.1,1.0,1.0929e-08,10,8,80
1.0,0.8,2.4564e-08,10,8,80
5.0,0.6,6.9309e-09,10,8,80
10.0,0.6,8.5779e-09,10,8,80
20.0,0.6,1.7516e-08,10,8,80
30.0,0.4,1.4719e-08,10,8,80
0.1,1.0,8.6076e-09,10,10,0
1.0,0.8,1.4243e-08,10,10,0
5.0,0.8,1.5151e-08,10,10,0
10.0,0.8,1.6895e-08,10,10,0
20.0,0.6,7.3072e-09,10,10,0
30.0,0.6,1.7755e-08,10,10,0
0.1,1.0,8.3487e-09,10,10,25
1.0,0.8,1.4884e-08,10,10,25
5.0,0.8,1.5909e-08,10,10,25
10.0,0.8,1.7705e-08,10,10,25
20.0,0.6,7.8352e-09,10,10,25
30.0,0.6,1.859e-08,10,10,25
0.1,1.0,7.8861e-09,10,10,80
1.0,0.8,1.627e-08,10,10,80
5.0,0.8,1.7611e-08,10,10,80
10.0,0.8,1.9515e-08,10,10,80
20.0,0.6,9.0794e-09,10,10,80
30.0,0.4,5.3852e-09,10,10,80
0.1,1.0,6.6635e-09,10,12,0
1.0,0.8,1.0259e-08,10,12,0
5.0,0.8,1.0863e-08,10,12,0
10.0,0.8,1.1986e-08,10,12,0
20.0,0.6,4.1277e-09,10,12,0
30.0,0.6,1.0079e-08,10,12,0
0.1,1.0,6.4671e-09,10,12,25
1.0,0.8,1.0756e-08,10,12,25
5.0,0.8,1.1442e-08,10,12,25
10.0,0.8,1.2599e-08,10,12,25
20.0,0.6,4.508e-09,10,12,25
30.0,0.6,1.0635e-08,10,12,25
0.1,1.2,1.0359e-08,10,12,80
1.0,0.8,1.1842e-08,10,12,80
5.0,0.8,1.2755e-08,10,12,80
10.0,0.8,1.3981e-08,10,12,80
20.0,0.6,5.4187e-09,10,12,80
30.0,0.6,1.1904e-08,10,12,80
0.1,1.0,5.1117e-08,20,5,0
1.0,0.6,4.0499e-08,20,5,0
5.0,0.6,4.5432e-08,20,5,0
10.0,0.6,5.8964e-08,20,5,0
20.0,0.4,4.8764e-08,20,5,0
30.0,-3.7581e-14,2.3244e-08,20,5,0
0.1,1.0,4.9374e-08,20,5,25
1.0,0.6,4.2705e-08,20,5,25
5.0,0.6,4.8035e-08,20,5,25
10.0,0.6,6.1973e-08,20,5,25
20.0,0.4,5.1471e-08,20,5,25
30.0,-3.7581e-14,2.5204e-08,20,5,25
0.1,1.0,4.6329e-08,20,5,80
1.0,0.6,4.762e-08,20,5,80
5.0,0.6,5.3997e-08,20,5,80
10.0,0.6,6.8743e-08,20,5,80
20.0,0.4,5.764e-08,20,5,80
30.0,-3.7581e-14,2.9867e-08,20,5,80
0.1,1.0,2.3919e-08,20,8,0
1.0,0.8,4.3545e-08,20,8,0
5.0,0.8,4.6602e-08,20,8,0
10.0,0.6,1.3185e-08,20,8,0
20.0,0.6,2.9596e-08,20,8,0
30.0,0.4,2.4454e-08,20,8,0
0.1,1.0,2.3177e-08,20,8,25
1.0,0.8,4.5331e-08,20,8,25
5.0,0.8,4.8752e-08,20,8,25
10.0,0.6,1.4357e-08,20,8,25
20.0,0.6,3.1252e-08,20,8,25
30.0,0.4,2.5958e-08,20,8,25
0.1,1.0,2.1858e-08,20,8,80
1.0,0.8,4.9128e-08,20,8,80
5.0,0.6,1.3862e-08,20,8,80
10.0,0.6,1.7156e-08,20,8,80
20.0,0.6,3.5031e-08,20,8,80
30.0,0.4,2.9437e-08,20,8,80
0.1,1.0,1.7215e-08,20,10,0
1.0,0.8,2.8485e-08,20,10,0
5.0,0.8,3.0302e-08,20,10,0
10.0,0.8,3.379e-08,20,10,0
